# Origin	Destination	menuOption menuTarget objectID	Varbits	Duration	Display info
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29341		1	Annakarl Portal
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29349		1	Annakarl Portal
1928 5731 0	3288 3888 0	Enter Annakarl Portal 29357		1	Annakarl Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13619		1	Ardougne Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13626		1	Ardougne Portal
1928 5731 0	2662 3305 0	Enter Ardougne Portal 13633		1	Ardougne Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37588		1	West Ardougne Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37600		1	West Ardougne Portal
1928 5731 0	2500 3290 0	Enter West Ardougne Portal 37612		1	West Ardougne Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41416		1	Arceuus Library Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41417		1	Arceuus Library Portal
1928 5731 0	1632 3837 0	Enter Arceuus Library Portal 41418		1	Arceuus Library Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37591		1	Barrows Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37603		1	Barrows Portal
1928 5731 0	3564 3315 0	Enter Barrows Portal 37615		1	Barrows Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37584		1	Battlefront Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37596		1	Battlefront Portal
1928 5731 0	1347 3740 0	Enter Battlefront Portal 37608		1	Battlefront Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33094	4560=0	1	Camelot Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33100	4560=0	1	Camelot Portal
1928 5731 0	2757 3479 0	Camelot Camelot Portal 33106	4560=0	1	Camelot Portal
1928 5731 0	2726 3485 0	Seers' Village Seers' Village Portal 33095	4560=1	1	Seers' Village Portal
1928 5731 0	2726 3485 0	Seers' Village Seers' Village Portal 33101	4560=1	1	Seers' Village Portal
1928 5731 0	2726 3485 0	Seers' Village Seers' Village Portal 33107	4560=1	1	Seers' Village Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33434		1	Carrallanger Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33437		1	Carrallanger Portal
1928 5731 0	3158 3666 0	Enter Carrallanger Portal 33440		1	Carrallanger Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33432		1	Catherby Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33435		1	Catherby Portal
1928 5731 0	2801 3449 0	Enter Catherby Portal 33438		1	Catherby Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50713		1	Civitas illa Fortis Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50714		1	Civitas illa Fortis Portal
1928 5731 0	1681 3133 0	Enter Civitas illa Fortis Portal 50715		1	Civitas illa Fortis Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37590		1	Cemetery Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37602		1	Cemetery Portal
1928 5731 0	2981 3764 0	Enter Cemetery Portal 37614		1	Cemetery Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37583		1	Draynor Manor Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37595		1	Draynor Manor Portal
1928 5731 0	3109 3351 0	Enter Draynor Manor Portal 37607		1	Draynor Manor Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13617		1	Falador Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13624		1	Falador Portal
1928 5731 0	2964 3378 0	Enter Falador Portal 13631		1	Falador Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37587		1	Fenkenstrain's Castle Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37599		1	Fenkenstrain's Castle Portal
1928 5731 0	3548 3529 0	Enter Fenkenstrain's Castle Portal 37611		1	Fenkenstrain's Castle Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29343		1	Fishing Guild Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29351		1	Fishing Guild Portal
1928 5731 0	2613 3391 0	Enter Fishing Guild Portal 29359		1	Fishing Guild Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33433		1	Ghorrock Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33436		1	Ghorrock Portal
1928 5731 0	2976 3872 0	Enter Ghorrock Portal 33439		1	Ghorrock Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37589		1	Harmony Island Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37601		1	Harmony Island Portal
1928 5731 0	3797 2866 0	Enter Harmony Island Portal 37613		1	Harmony Island Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29338		1	Kharyrll Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29346		1	Kharyrll Portal
1928 5731 0	3494 3473 0	Enter Kharyrll Portal 29354		1	Kharyrll Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29345		1	Kourend Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29353		1	Kourend Portal
1928 5731 0	1641 3673 0	Enter Kourend Portal 29361		1	Kourend Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13616		1	Lumbridge Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13623		1	Lumbridge Portal
1928 5731 0	3221 3218 0	Enter Lumbridge Portal 13630		1	Lumbridge Portal
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29339		1	Lunar Isle Portal
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29347		1	Lunar Isle Portal
1928 5731 0	2113 3915 0	Enter Lunar Isle Portal 29355		1	Lunar Isle Portal
1928 5731 0	2798 2799 0	Enter Marim Portal 29344		1	Marim Portal
1928 5731 0	2798 2799 0	Enter Marim Portal 29352		1	Marim Portal
1928 5731 0	2798 2799 0	Enter Marim Portal 29360		1	Marim Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37585		1	Mind Altar Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37597		1	Mind Altar Portal
1928 5731 0	2979 3510 0	Enter Mind Altar Portal 37609		1	Mind Altar Portal
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37586		1	Salve Graveyard Portal
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37598		1	Salve Graveyard Portal
1928 5731 0	3433 3461 0	Enter Salve Graveyard Portal 37610		1	Salve Graveyard Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29340		1	Senntisten Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29348		1	Senntisten Portal
1928 5731 0	3320 3337 0	Enter Senntisten Portal 29356		1	Senntisten Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33179	4493=0	1	Troll Stronghold Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33180	4493=0	1	Troll Stronghold Portal
1928 5731 0	2845 3694 0	Enter Troll Stronghold Portal 33181	4493=0	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33179	4493=1	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33180	4493=1	1	Troll Stronghold Portal
1928 5731 0	2837 3695 0	Enter Troll Stronghold Portal 33181	4493=1	1	Troll Stronghold Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33092	4585=0	1	Varrock Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33098	4585=0	1	Varrock Portal
1928 5731 0	3213 3424 0	Varrock Varrock Portal 33104	4585=0	1	Varrock Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33093	4585=1	1	Grand Exchange Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33099	4585=1	1	Grand Exchange Portal
1928 5731 0	3165 3479 0	Grand Exchange Grand Exchange Portal 33105	4585=1	1	Grand Exchange Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29342		1	Waterbirth Island Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29350		1	Waterbirth Island Portal
1928 5731 0	2546 3755 0	Enter Waterbirth Island Portal 29358		1	Waterbirth Island Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37581		1	Weiss Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37593		1	Weiss Portal
1928 5731 0	2846 3938 0	Enter Weiss Portal 37605		1	Weiss Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Watchtower Portal 33096	4548=0	1	Watchtower Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Portal 33102	4548=0	1	Yanille Portal
1864 5732 0	2546 3114 0	Watchtower Yanille Watchtower Portal 33108	4548=0	1	Watchtower Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33097	4548=1	1	Yanille Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33103	4548=1	1	Yanille Portal
1864 5732 0	2584 3097 0	Yanille Yanille Portal 33109	4548=1	1	Yanille Portal